,Writer Name,Novel Name,Genre,Final Word Count,Daily Average,Winner,Synopses,url,Novel Date,has genre,standard genre,has_synopses,num words,num uniques,num sentences,paragraphs,fk score,has excerpt,num words excerpt,num uniques excerpt,num sentences excerpt,paragraphs excerpt,fk score excerpt
0,Nicaless,Novel: Lauren's Birthday,Genre: Young Adult,24229,807,0,"
<p></p>
",http://nanowrimo.org/participants/nicaless/novels/lauren-s-birthday/stats,November 2015,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
1,Nicaless,Novel: A Mystery in the Kingdom of Aermon,Genre: Fantasy,50919,"1,697",1,"
<p>Hitoshi is appointed the youngest Judge and master of the Veris Saber in the history of Aermon.  His new responsibilities may prove to be a bit more challenging than he first anticipated.  It certainly does not help that he's standing trial for murder...  </p>
",http://nanowrimo.org/participants/nicaless/novels/a-mystery-in-the-kingdom-of-aermon/stats,November 2014,1,0,1,44,42,3,1,65.73,1,44,42,3,1,65.73
2,Rachel B. Moore,Novel: Finding Fortunato,Genre: Literary,50603,"1,686",1,"
<p>Sam and Anna Gold and their newly adoptive family - broken and traumatized 'uncle' Leo Berger and 'brother' Josef Neumann -  have finally left the Fohrenwald Displaced Person's Camp in Germany for their new home, the small Argentinean town of Fortunato.</p>
<p>How do you reconstruct your life from scratch, in a new land and a new language?</p>
<p>Having left Germany with false papers declaring their familial bond, the non-traditional family is thrust into rural Fortunato with a few pesos and the promise of work and four walls to call home. Settling into a new home isn't easy when you know what you're doing, but when you've just escaped the horrors of post-Wold War II Germany, it is an incredible challenge.</p>
<p>Here in Fortunato they will find peace and stability. They will learn Spanish. They will find work, they will find friendship, and they will become the family that their paperwork claims they already are.</p>
",http://nanowrimo.org/participants/rachel-b-moore/novels/finding-fortunato/stats,November 2015,1,0,1,153,109,7,4,58.62,1,153,109,7,4,58.62
3,Rachel B. Moore,Novel: The Residency,Genre: Literary,50425,"1,680",1,"
<p>It's every writer's dream - an all-expense paid writer's residency. Eight lucky writers are accepted to the residency of their dreams: 7 days of peace and inspirational solitude in the Maine woods.</p><p>Between the day they arrive and the final celebratory banquet, much will change in the lives of the eight chosen residents. And it won't all be good.</p><p> </p>
",http://nanowrimo.org/participants/rachel-b-moore/novels/the-residency-579624/stats,November 2014,1,0,1,59,51,4,3,65.73,1,59,51,4,3,65.73
4,Rachel B. Moore,Novel: The Jew From Fortunato,Genre: Literary Fiction,41447,"1,381",0,"
<p>20-something Andre Levinsky is a fish out of water - a Russian-Chilean Jew stuck in a provincial Chilean town in the late 1950s. All he wants to do is make some money so he can get out of Fortunato and head to the capital city of Santiago.<br/>He'll work the oddest of odd jobs to reach his goal; whether it's as a security guard at the town's only bank, to trying his hand at milk delivery in one of Fortunato's least accessible hillside neighborhoods.<br/>Along the way he'll dodge his mother's attempts at matchmaking and he'll try to connect with his much younger sister Elena, who, unlike her brother and parents was born in Chile and knows nothing of the family's previous life in pre-war Russia. <br/></p>
",http://nanowrimo.org/participants/rachel-b-moore/novels/the-jew-from-fortunato/stats,November 2013,1,0,1,124,93,4,1,56.93,1,124,93,4,1,56.93
5,Rachel B. Moore,Novel: Perdido,Genre: Literary Fiction,33083,"1,102",0,"
<p>Andre Levinsky is a celebrated writer in his native Chile, that is until his most recent novel, Perdido, crashes and burns at the same time as his marriage. With his wife and two children gone,  and his career in shambles, Andre decides it is time to start over.<br/>He orchestrates his own disappearance, several years before disappearances will become commonplace and deadly in South America, and flees to Argentina where he reinvents himself as a quiet bookseller named Abe Lewin. He befriends Rey Vega and his younger sister Carolina, becomes the general manager at Monsivais y Hnos. booksellers and manages, for a while at least, to keep his secrets and evade discovery.<br/>Everything seems to be working out for him. He and Carolina become engaged to be married, the bookstore is flourishing.<br/>But it is the 60s and soon his adopted country and his former homeland will be embroiled in terrible conflicts that will directly impact the lives of Abe, Rey, Carolina and everyone they know.<br/><br/></p>
",http://nanowrimo.org/participants/rachel-b-moore/novels/perdido/stats,November 2012,1,0,1,163,112,8,1,51.18,1,163,112,8,1,51.18
6,Rachel B. Moore,Novel: Skipping Rocks at Naskeag,Genre: Literary Fiction,50419,"1,680",1,"
<p>On his last night in the US, Nicholas Chase can't sleep. In a few hours he will move back to London, the city of his youth, after being away for almost twenty years. <br/>Unable to go to bed, he and his teenage goddaughter restlessly drift through the house, talking and reminiscing.<br/>Chatty, reflective, Nicholas opens up to his goddaughter and tell her things he's never told anyone before.<br/>His stories span decades - from his University days in 1980s London to his arrival in rural Maine a decade later, fleeing family secrets and the sudden death of his great love. The luck, or was it fate? of stumbling upon the ramshackle bed and breakfast that would become his home. <br/>He tells her about what he left behind, and what he gained when he joined the broken but healing family living in the neglected farmhouse out on rural route 175.<br/>Morning will come whether they are ready or not, but at least there is tonight, the warmth of the kitchen, and the knowledge that everyone they love is fast asleep upstairs.<br/><br/></p>
",http://nanowrimo.org/participants/rachel-b-moore/novels/skipping-rocks-at-naskeag/stats,November 2011,1,0,1,176,129,9,1,69.11,1,176,129,9,1,69.11
7,Rachel B. Moore,"Novel: Untitled (Well, I am sure it had a title at the time, but...",Genre: Literary Fiction,50453,"1,681",1,"
<p>Abel works in the library, cataloging donated collections. While cataloging the complete archive of a forgotten Russian novelist he discovers a surprising secret. At the same time, his ex-wife is threatening to take their two children with her back to her native El Salvador.<br/>Chaos ensues, as Abel tries to find his way through the Russian novelist's lies and his own family's troubles. </p>
",http://nanowrimo.org/participants/rachel-b-moore/novels/untitled-well-i-am-sure-it-had-a-title-at-the-time-but-i-can-t-remember-it/stats,November 2010,1,0,1,62,51,4,1,56.25,1,62,51,4,1,56.25
8,Rachel B. Moore,Novel: Ventajas/Ventanas,Genre: Literary Fiction,50400,"1,680",1,"
<p></p>
",http://nanowrimo.org/participants/rachel-b-moore/novels/ventajas-ventanas/stats,November 2009,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
9,Rachel B. Moore,Novel: Untitled (Andre Levinsky Backstory),Genre: Literary Fiction,50704,"1,690",1,"
<p></p>
",http://nanowrimo.org/participants/rachel-b-moore/novels/untitled-andre-levinsky-backstory/stats,November 2008,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
